Paper Link,Material,Formulation,Elastic Modulus,Yield Stress (Pa),Extensional Strain-to-Break (%),"Type (P = physical, C = covalent, S=Single molecule)","Method (A = Approximated, V = Value Provided)",Notes,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly[1-(4-butylphenyl)-2-phenylacetylene],--,--,--,6.6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly{1-phenyl-2-[4-(trimethylsilyl)phenyl]acetylene},--,--,--,1.5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly{1-phenyl-2-[3-(trimethylsilyl)phenyl]acetylene},--,--,--,2.1,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly[1-(hexylsulfanyl)prop-1-yne],--,--,--,20.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly[1-(decylsulfanyl)prop-1-yne],--,--,--,21.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly{(1,1,1,3,3,3-hexafluoro-2,2-diphenyl-propane)-alt-[bis(4-fluorophenyl)methylphosphine oxide]}",--,--,--,26.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly{hydroquinone-alt-[bis(4-fluorophenyl)methylphosphine oxide]},--,--,--,38.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly[(desaminotyrosyl-l-tyrosine hexyl ester)-alt-(succinic acid)],--,--,--,9.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[bis(2-oxodibenzo[c,e][1,2]oxaphoshinin-2-yl)methylene]dianiline}-alt-(terephthalic acid))",--,--,--,3.7,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly{[4,4′-(9H-fluorene-9,9-diyl)dianiline]-alt-[5,5′-carbonylbis(isobenzofuran-1,3-dione)]}",--,--,--,3.9,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly{[4,4′-(9H-fluorene-9,9-diyl)dianiline]-alt-[5,5′-carbonylbis(isobenzofuran-1,3-dione)]}",--,--,--,4.9,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({O,O′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenylene)]dihydroxylamine}-alt-{5,5′-[4-tert-butylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,8.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-(trifluoromethyl)-2,2,2-trifluoroethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-tert-butylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2-tert-butyl-1,4-phenylenedioxy)dianiline]-alt-{5,5′-[4-tert-butylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,9.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2,2′-dimethylbiphenyl-4,4′-diyldioxy)dianiline]-alt-{5,5′-[4-tert-butylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[adamantane-2,2-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-tert-butylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[tricyclo[5.2.1.0^2,6^^]decane-8,8-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-tert-butylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(1,4-phenylenedioxy)dianiline]-alt-{N,N′-bis[(chloroformyl)methyl]-4,4′-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]diphthalimide})",--,--,--,30.5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[sulfonylbis(4,1-phenyleneoxy)]dianiline}-alt-{N,N′-bis[(chloroformyl)methyl]-4,4′-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]diphthalimide})",--,--,--,39.1,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-methylethane-1,1-diylbis(4,1-phenyleneoxy)]diphenol}-alt-{N,N′-bis[(chloroformyl)methyl]-4,4′-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]diphthalimide})",--,--,--,29.2,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[4-(tert-butyl)cyclohexane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,6.9,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,6.5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[(bicyclo[2.2.1]heptane-2,2-diyl)bis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,6.8,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2-tert-butyl-1,4-phenylenedioxy)dianiline]-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,7.6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2,2′-dimethylbiphenyl-4,4′-diyldioxy)dianiline]-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-methylenedianiline)-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,8.5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-oxydianiline)-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,7.7,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[tricyclo[5.2.1.0^2,6^^]decane-8,8-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,--,--,7.1,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-(trifluoromethyl)-2,2,2-trifluoroethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2-tert-butyl-1,4-phenylenedioxy)dianiline]-alt-{5,5′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([2,2′-bis(trifluoromethyl)benzidine]-alt-{5,5′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2,2′-dimethylbiphenyl-4,4′-diyldioxy)dianiline]-alt-{5,5′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[adamantane-2,2-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[(bicyclo[2.2.1]heptane-2,2-diyl)bis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",--,--,--,10.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[tricyclo[5.2.1.0^2,6^^]decane-8,8-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",--,--,--,10.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly{(4,4′-oxydianiline)-alt-[6,6′-bis(4-tertbutylphenyl)biphenyl-3,3′,4,4′-tetracarboxylic anhydride]}",--,--,--,9.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly{(4,4′-methylenedianiline)-alt-[6,6′-bis(4-tertbutylphenyl)biphenyl-3,3′,4,4′-tetracarboxylic anhydride]}",--,--,--,9.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]dianiline}-alt-[6,6′-bis(4-tertbutylphenyl)biphenyl-3,3′,4,4′-tetracarboxylic anhydride])",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-oxydianiline)-alt-{6,6′-bis[4-(trimethylsilyl)phenyl]biphenyl-3,3′,4,4′-tetracarboxylic anhydride})",--,--,--,11.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]dianiline}-alt-{6,6′-bis[4-(trimethylsilyl)phenyl]biphenyl-3,3′,4,4′-tetracarboxylic anhydride})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2,2′-dimethylbiphenyl-4,4′-diyldioxy)dianiline]-alt-{5,5′-[cyclododecane-1,1-diylbis(4,1-phenylene)]bis(isobenzofuran-1,3-dione)})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-methylenedianiline)-alt-{5,5′-[cyclododecane-1,1-diylbis(4,1-phenylene)]bis(isobenzofuran-1,3-dione)})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2-tert-butyl-1,4-phenylenedioxy)dianiline]-alt-{5,5′-[cyclododecane-1,1-diylbis(4,1-phenylene)]bis(isobenzofuran-1,3-dione)})",--,--,--,8.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-oxydianiline)-alt-{5,5′-[cyclododecane-1,1-diylbis(4,1-phenylene)]bis(isobenzofuran-1,3-dione)})",--,--,--,10.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[(bicyclo[2.2.1]heptane-2,2-diyl)bis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[cyclododecane-1,1-diylbis(4,1-phenylene)]bis(isobenzofuran-1,3-dione)})",--,--,--,9.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[4-(tert-butyl)cyclohexane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[cyclododecane-1,1-diylbis(4,1-phenylene)]bis(isobenzofuran-1,3-dione)})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[adamantane-2,2-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[cyclododecane-1,1-diylbis(4,1-phenylene)]bis(isobenzofuran-1,3-dione)})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly[sulfonyl(3-sulfo-1,4-phenylene)sulfanediyl-1,4-phenylenesulfanediyl-1,4-phenylenesulfanediyl(2-sulfo-1,4-phenylene)]",--,--,--,16.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly[sulfonyl(3-sulfo-1,4-phenylene)sulfanediyl-1,4-phenylenesulfanediyl-1,4-phenylenesulfanediyl(2-sulfo-1,4-phenylene)]",--,--,--,12.0,S,V,elongation at break,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI21,HexArmor Resin,--,,100.00,900.0,U,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI22,Mystic Smoke,--,,100.00,2000.0,U,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI23,Laffy Taffy,--,,800.00,2100.0,U,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI24,HubbaBubba Tape,--,,900.00,3000.0,U,A,,
https://www-nature-com.stanford.idm.oclc.org/articles/nchem.2492.pdf?origin=ppub,Fe3+:H2pdca-PDMS,1:1,,,600.0,P,,,
https://www-nature-com.stanford.idm.oclc.org/articles/nchem.2492.pdf?origin=ppub,Fe3+:H2pdca-PDMS,1:2,,,1900.0,P,,,
https://www-nature-com.stanford.idm.oclc.org/articles/nchem.2492.pdf?origin=ppub,Fe3+:H2pdca-PDMS,1:3,,,3900.0,P,,,
https://www-nature-com.stanford.idm.oclc.org/articles/nchem.2492.pdf?origin=ppub,Fe3+:H2pdca-PDMS,1:4,,,5200.0,P,,,
https://www-nature-com.stanford.idm.oclc.org/articles/nchem.2492.pdf?origin=ppub,Fe3+:H2pdca-PDMS,1:5,,,6200.0,P,,,
https://onlinelibrary-wiley-com.stanford.idm.oclc.org/doi/full/10.1002/adfm.201800741,U-PDMS0.9K-E,--,,,984.0,P,,elongation at break,
https://onlinelibrary-wiley-com.stanford.idm.oclc.org/doi/full/10.1002/adfm.201800741,U-PDMS3.0K-E,--,,,1479.0,P,,elongation at break,
https://onlinelibrary-wiley-com.stanford.idm.oclc.org/doi/full/10.1002/adfm.201800741,U-PDMS5.0K-E,--,,,1811.0,P,,elongation at break,
https://onlinelibrary-wiley-com.stanford.idm.oclc.org/doi/full/10.1002/adfm.201800741,U-PDMS5.0K-E-healing,--,,,2094.0,P,,elongation at break,
https://onlinelibrary-wiley-com.stanford.idm.oclc.org/doi/full/10.1002/adfm.201800741,U-PDMS5.0K-E*,--,,,2561.0,P,,elongation at break,
https://onlinelibrary-wiley-com.stanford.idm.oclc.org/doi/full/10.1002/adfm.201800741,U-PDMS30K-E,--,,,5596.0,P,,elongation at break,
